day,month,year,type,operator,fat.,cat,Aircraft Type,Aircraft Cat
1,Apr,1931,Ford 5-AT-C Tri-Motor,Panagra,0,A1,Military_research,Military
1,Apr,1937,Ford 5-AT-C Tri-Motor,Star Air Service,0,A1,Military_research,Military
1,Apr,1956,Martin 4-0-4,TWA,22,A1,Commercial_civil,Commercial
1,Aug,1940,Handley Page HP.42E,RAF,,A1,Military_research,Military
1,Aug,1937,Junkers Ju-52/3m,Eurasia,,A1,Commercial_civil,Commercial
1,Aug,1942,Junkers Ju-52/3mg4e,German AF,0,A1,Commercial_civil,Commercial
1,Dec,1984,Boeing 720-027,NASA,0,O1,Commercial_civil,Commercial
1,Dec,1944,Consolidated PBY-5A Catalina,US Navy,,A1,Military_naval,Military
1,Dec,1944,Douglas DC-3-209,TWA,8,A1,Military_research,Military
1,Dec,1944,Lockheed C-60A-1-LO Lodestar,USAAF,9,A1,Military_transport,Military
1,Dec,1942,Short S.23 Empire Flying Boat Mk I,BOAC,,O1,Military_research,Military
1,Jul,1947,Amiot AAC.1 (Junkers Ju-52),Air France,13,A1,Commercial_civil,Commercial
1,Jul,1947,Avro 685 York C.1,RAF,5,A1,Military_others,Military
1,Jul,1941,Consolidated Catalina I,RAF,0,A1,Military_transport,Military
1,Jul,1947,Douglas C-47 (DC-3),TAN,,A1,Military_transport,Military
1,Jul,1951,Douglas C-47A (DC-3),USAF,5,A1,Military_research,Military
1,Jul,1942,Douglas C-49E (DC-3),USAAF,21,A1,Military_transport,Military
1,Jul,1934,Ford 4-AT-D Tri-Motor,Private,0,A1,Military_research,Military
1,Jul,1947,Ilyushin Il-12P,Aeroflot / Moscow,4,A1,Commercial_civil,Commercial
1,Jun,1939,Armstrong Whitworth AW.15 Atalanta,Imperial Airways,,A1,Military_others,Military
1,Jun,1942,Consolidated PBY-5 Catalina,US Navy,8,A1,Military_naval,Military
1,Jun,1945,Douglas C-47B (DC-3),RAAF,0,A1,Military_research,Military
1,Jun,1940,Douglas R3D-1 (DC-5),Douglas,4,A1,Military_naval,Military
1,Mar,1938,Douglas DC-2-112,TWA,9,A1,Military_transport,Military
1,Mar,1940,Handley Page HP.42E,Imperial Airways,8,A1,Military_research,Military
1,Mar,1941,Junkers Ju-52/3mge,Iberia,0,A1,Commercial_civil,Commercial
